	 Testing Card: salvager 
ERROR: NumActions Expected: 132	 Result: 133
ERROR: NumActions Expected: 44	 Result: 45
ERROR: NumActions Expected: 244	 Result: 245
ERROR: NumActions Expected: 490	 Result: 491
ERROR: NumActions Expected: 207	 Result: 208
ERROR: NumActions Expected: 452	 Result: 453
ERROR: NumActions Expected: 321	 Result: 322
ERROR: NumActions Expected: 317	 Result: 318
ERROR: NumActions Expected: 247	 Result: 248
ERROR: NumActions Expected: 184	 Result: 185
ERROR: NumActions Expected: 286	 Result: 287
ERROR: NumActions Expected: 483	 Result: 484
ERROR: NumActions Expected: 279	 Result: 280
ERROR: NumActions Expected: 144	 Result: 145
ERROR: NumActions Expected: 470	 Result: 471
ERROR: NumActions Expected: 306	 Result: 307
ERROR: NumActions Expected: 106	 Result: 107
ERROR: NumActions Expected: 113	 Result: 114
ERROR: NumActions Expected: 32	 Result: 33
ERROR: NumActions Expected: 32	 Result: 33
ERROR: NumActions Expected: 299	 Result: 300
ERROR: NumActions Expected: 232	 Result: 233
ERROR: NumActions Expected: 27	 Result: 28
ERROR: NumActions Expected: 210	 Result: 211
ERROR: NumActions Expected: 33	 Result: 34
ERROR: NumActions Expected: 109	 Result: 110
ERROR: NumActions Expected: 40	 Result: 41
ERROR: NumActions Expected: 333	 Result: 334
ERROR: NumActions Expected: 169	 Result: 170
ERROR: NumActions Expected: 299	 Result: 300
ERROR: NumActions Expected: 198	 Result: 199
ERROR: NumActions Expected: 89	 Result: 90
ERROR: NumActions Expected: 266	 Result: 267
ERROR: NumActions Expected: 281	 Result: 282
ERROR: NumActions Expected: 209	 Result: 210
ERROR: NumActions Expected: 410	 Result: 411
ERROR: NumActions Expected: 315	 Result: 316
ERROR: NumActions Expected: 308	 Result: 309
ERROR: NumActions Expected: 265	 Result: 266
ERROR: NumActions Expected: 475	 Result: 476
ERROR: NumActions Expected: 321	 Result: 322
ERROR: NumActions Expected: 438	 Result: 439
ERROR: NumActions Expected: 146	 Result: 147
ERROR: NumActions Expected: 412	 Result: 413
ERROR: NumActions Expected: 438	 Result: 439
ERROR: NumActions Expected: 489	 Result: 490
ERROR: NumActions Expected: 14	 Result: 15
ERROR: NumActions Expected: 326	 Result: 327
ERROR: NumActions Expected: 201	 Result: 202
ERROR: NumActions Expected: 311	 Result: 312
ERROR: NumActions Expected: 293	 Result: 294
ERROR: NumActions Expected: 283	 Result: 284
ERROR: NumActions Expected: 13	 Result: 14
ERROR: NumActions Expected: 182	 Result: 183
ERROR: NumActions Expected: 481	 Result: 482
ERROR: NumActions Expected: 370	 Result: 371
ERROR: NumActions Expected: 406	 Result: 407
ERROR: NumActions Expected: 51	 Result: 52
ERROR: NumActions Expected: 220	 Result: 221
ERROR: NumActions Expected: 168	 Result: 169
ERROR: NumActions Expected: 389	 Result: 390
ERROR: NumActions Expected: 399	 Result: 400
ERROR: NumActions Expected: 57	 Result: 58
ERROR: NumActions Expected: 167	 Result: 168
ERROR: NumActions Expected: 148	 Result: 149
ERROR: NumActions Expected: 434	 Result: 435
ERROR: NumActions Expected: 107	 Result: 108
ERROR: NumActions Expected: 75	 Result: 76
ERROR: NumActions Expected: 47	 Result: 48
ERROR: NumActions Expected: 50	 Result: 51
ERROR: NumActions Expected: 296	 Result: 297
ERROR: NumActions Expected: 39	 Result: 40
ERROR: NumActions Expected: 334	 Result: 335
ERROR: NumActions Expected: 210	 Result: 211
ERROR: NumActions Expected: 128	 Result: 129
ERROR: NumActions Expected: 140	 Result: 141
ERROR: NumActions Expected: 272	 Result: 273
ERROR: NumActions Expected: 411	 Result: 412
ERROR: NumActions Expected: 340	 Result: 341
ERROR: NumActions Expected: 458	 Result: 459
ERROR: NumActions Expected: 339	 Result: 340
